,ip,frequency,org,city,country,region,postal,hostname,location,timezone
0,54.39.130.200,513038,AS16276 OVH SAS,Montréal,CA,Quebec,H3A,ns572703.ip-54-39-130.net,"45.5040,-73.5747",America/Toronto
1,5.182.201.201,448390,AS197540 netcup GmbH,Berlin,DE,Berlin,10963,hosting.frachtwerk.de,"52.5003,13.3813",Europe/Berlin
2,172.25.0.3,179390,0,0,0,0,0,0,0,0
3,95.156.250.54,134006,AS199610 marbis GmbH,London,GB,England,EC1A,0,"51.5085,-0.1257",Europe/London
4,213.186.33.5,125511,AS16276 OVH SAS,Paris,FR,Île-de-France,75000,redirect.ovh.net,"48.8534,2.3488",Europe/Paris
5,46.251.234.89,124989,AS199610 marbis GmbH,London,GB,England,EC1A,0,"51.5085,-0.1257",Europe/London
6,164.90.185.34,97080,"AS14061 DigitalOcean, LLC",Frankfurt am Main,DE,Hesse,60311,0,"50.1155,8.6842",Europe/Berlin
7,45.237.108.30,91261,AS262481 NEOREDE TELECOMUNICAÇÃO EIRELI - EPP,Florianópolis,BR,Santa Catarina,88000-000,0,"-27.5967,-48.5492",America/Sao_Paulo
8,74.91.115.69,91037,"AS14586 Nuclearfallout Enterprises, Inc.",Clifton,US,New Jersey,07015,v-74-91-115-69.unman-vds.premium-chicago.nfoservers.com,"40.8584,-74.1638",America/New_York
9,104.153.105.250,86857,"AS14586 Nuclearfallout Enterprises, Inc.",Columbus,US,Ohio,43215,c-104-153-105-250.premium-chicago.nfoservers.com,"39.9612,-82.9988",America/New_York
10,54.36.118.81,85994,AS16276 OVH SAS,Roubaix,FR,Hauts-de-France,59051 CEDEX 1,0,"50.6942,3.1746",Europe/Paris
11,74.91.122.238,85621,"AS14586 Nuclearfallout Enterprises, Inc.",Chicago,US,Illinois,60666,c-74-91-122-238.premium-chicago.nfoservers.com,"41.8500,-87.6500",America/Chicago
12,103.200.23.21,83807,AS135905 VIETNAM POSTS AND TELECOMMUNICATIONS GROUP,Ho Chi Minh City,VN,Ho Chi Minh,71606,0,"10.8230,106.6296",Asia/Ho_Chi_Minh
13,95.156.220.75,78859,AS199610 marbis GmbH,Frankfurt am Main,DE,Hesse,60311,0,"50.1155,8.6842",Europe/Berlin
14,70.161.111.27,78087,AS22773 Cox Communications Inc.,Norfolk,US,Virginia,23514,ip70-161-111-27.hr.hr.cox.net,"36.8468,-76.2852",America/New_York
15,93.240.88.37,70849,AS3320 Deutsche Telekom AG,Weilheim,DE,Bavaria,82362,p5df05825.dip0.t-ipconnect.de,"47.8415,11.1548",Europe/Berlin
16,46.251.234.84,69496,AS199610 marbis GmbH,London,GB,England,EC1A,0,"51.5085,-0.1257",Europe/London
17,46.251.234.86,69257,AS199610 marbis GmbH,London,GB,England,EC1A,0,"51.5085,-0.1257",Europe/London
18,109.230.243.35,68654,AS199610 marbis GmbH,Miami,US,Florida,33102,0,"25.7743,-80.1937",America/New_York
19,45.129.33.149,68082,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
20,85.190.153.96,67677,AS199610 marbis GmbH,Miami,US,Florida,33102,0,"25.7743,-80.1937",America/New_York
21,45.129.33.145,67247,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
22,162.248.94.189,66291,"AS32751 Nuclearfallout Enterprises, Inc.",Concord,US,California,94522,lumsec.exophobian.com,"37.9780,-122.0311",America/Los_Angeles
23,5.62.127.243,65329,AS199610 marbis GmbH,Frankfurt am Main,DE,Hesse,60311,0,"50.1155,8.6842",Europe/Berlin
24,85.190.149.67,65057,AS199610 marbis GmbH,London,GB,England,EC1A,0,"51.5085,-0.1257",Europe/London
25,87.251.74.18,64553,AS204490 Kontel LLC,Moscow,RU,Moscow,101000,0,"55.7522,37.6156",Europe/Moscow
26,45.9.62.57,64431,AS197540 netcup GmbH,Münster,DE,North Rhine-Westphalia,48079,v220200532033117841.goodsrv.de,"51.9624,7.6257",Europe/Berlin
27,134.255.240.74,64162,AS199610 marbis GmbH,Miami,US,Florida,33102,0,"25.7743,-80.1937",America/New_York
28,47.242.30.38,64028,"AS45102 Alibaba (US) Technology Co., Ltd.",Beijing,CN,Beijing,0,0,"39.9075,116.3972",Asia/Shanghai
